"super_opeid","name","type","tier","tier_name","iclevel","region","state","cz","czname","cfips","county","multi","count","female","k_married","mr_kq5_pq1","mr_ktop1_pq1","par_mean","par_median","par_rank","par_q1","par_q2","par_q3","par_q4","par_q5","par_top10pc","par_top5pc","par_top1pc","par_toppt1pc","k_rank","k_mean","k_median","k_median_nozero","k_0inc","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","ktop1pc_cond_parq1","ktop1pc_cond_parq2","ktop1pc_cond_parq3","ktop1pc_cond_parq4","ktop1pc_cond_parq5","k_married_cond_parq1","k_married_cond_parq2","k_married_cond_parq3","k_married_cond_parq4","k_married_cond_parq5","shareimputed","imputed"
1378,"Central Connecticut State University",1,5,"Selective public",1,1,"CT",20901,"Bridgeport",9003,"Hartford",0,1433.66666666667,0.49430364,0.52908772,0.014561397,0.0006670641,104581.384498154,93300,0.663732088296753,0.05061036,0.10825457,0.16859604,0.31301624,0.3595227,0.14420708,0.043641295,0.0047099143,0.00026964076,0.65054363,48401.6263514299,46600,49000,0.076400772,0.084862009,0.106594,0.15130281,0.29737592,0.35986516,0.14872266,0.059094794,0.0069740769,0.61450183,0.62084663,0.63704801,0.66082823,0.66193384,0.096492395,0.11424737,0.22543076,0.27611372,0.28771573,0.085431777,0.13954051,0.16134098,0.31454518,0.29914156,0.099456802,0.094431862,0.18205148,0.29420942,0.32985044,0.077655338,0.107164,0.13867477,0.31610715,0.36039871,0.082483545,0.10080335,0.13442037,0.28037596,0.40191677,0.013180386,0.0042409706,0.011125744,0.0070630754,0.0048989803,0.39605936,0.44272467,0.50079161,0.54718268,0.57133389,0,0
2453,"Central Methodist University",2,6,"Selective private",1,2,"MO",29601,"Columbia",29089,"Howard",0,192,0.51215279,0.66388357,0.01253188,0.0034948271,77169.6893785265,66000,0.551949654395382,0.084834293,0.17985511,0.30542454,0.26669103,0.16319506,0.062764555,0.024506124,0.0012327642,7.3490097e-05,0.58226788,40218.286702474,36200,38100,0.10387301,0.10579874,0.1121496,0.26973581,0.32046148,0.19185443,0.087975994,0.037898581,0.0074736653,0.48234615,0.53529769,0.58749121,0.59925741,0.64843589,0.2159798,0.13567038,0.25607938,0.24454863,0.14772187,0.096097849,0.13235247,0.33513278,0.33167398,0.10474291,0.099546447,0.09021689,0.26858917,0.35792404,0.18372352,0.082822613,0.11969988,0.29588839,0.29890919,0.20267989,0.10846275,0.1063665,0.16416949,0.31267437,0.3083269,0.041195925,0,0.00035265699,0.0073727276,0.011672459,0.48980403,0.65076691,0.65872085,0.67784703,0.7556749,0,0
2243,"Central Michigan University",1,5,"Selective public",1,2,"MI",11800,"Mount Pleasant",26073,"Isabella",0,3289,0.60200667,0.64899361,0.010340575,0.00029844715,112044.46316953,98300,0.689715699661681,0.043737322,0.085741848,0.1716128,0.29306608,0.40584195,0.17767414,0.059556484,0.0058697071,0.00012906491,0.62630641,46949.2666491683,42400,44600,0.077878207,0.084461778,0.11648518,0.18342066,0.31722724,0.29840511,0.13527259,0.060549781,0.010423562,0.57539248,0.59385282,0.60702723,0.6237843,0.64862341,0.13045533,0.1364387,0.20803483,0.28864658,0.23642452,0.084180206,0.14003515,0.23299994,0.31901589,0.22376874,0.093765058,0.12804651,0.2029687,0.3121857,0.26303402,0.0758918,0.12025888,0.19156392,0.32394615,0.28833923,0.081819162,0.10174558,0.15614703,0.31720948,0.34307867,0.0068236263,0.0024025599,0.004175995,0.012163449,0.013891532,0.56623787,0.58406925,0.6176722,0.65611935,0.67972749,0,0
4890,"Central Penn College",3,10,"Four-year for-profit",1,1,"PA",19200,"Harrisburg",42041,"Cumberland",0,241.666666666667,0.77793103,0.62044829,0.005842939,3.8422189e-05,72336.4697737069,66800,0.545081417642791,0.091100037,0.18333235,0.30559152,0.28542319,0.13455284,0.048962798,0.021039329,0.00088541204,0.00088541204,0.50468165,29658.9813604526,28000,30800,0.10496724,0.11739022,0.22141908,0.31085899,0.2402707,0.1100609,0.033937879,0.0095640905,0.00148346,0.48012742,0.46305531,0.50627148,0.51746613,0.54729337,0.1286816,0.24988712,0.30677637,0.25051728,0.064137615,0.16237064,0.2726016,0.27907065,0.17773236,0.10822479,0.11236677,0.21033287,0.31977633,0.25076976,0.10675423,0.10270929,0.20923801,0.33168083,0.24530011,0.11107168,0.091009505,0.18342483,0.2925145,0.2840299,0.14902131,0.00042175822,0.00012974927,0.0045790239,7.6867087e-05,0,0.47879189,0.58352011,0.61464137,0.65008384,0.7169975,0,0
3026,"Central State University",1,5,"Selective public",1,2,"OH",12501,"Dayton",39057,"Greene",0,266,0.54010028,0.19629507,0.020660078,0,52515.0420044251,40300,0.399521072705587,0.23948643,0.31469154,0.21223468,0.15662128,0.076966211,0.031977657,0.007459865,7.1118498e-05,2.2748925e-05,0.47048882,26282.731690065,25200,27800,0.1235389,0.13966745,0.27177024,0.27532682,0.21944721,0.09378843,0.019203233,0.0083383508,0.00037812453,0.44570327,0.46296787,0.473654,0.49940488,0.51079047,0.15110698,0.32444265,0.20348032,0.2347018,0.086268261,0.15172651,0.24083059,0.32261217,0.21952249,0.065308228,0.10395068,0.30216551,0.28786987,0.22237962,0.08363428,0.1594729,0.18374844,0.2989777,0.21962783,0.13817316,0.11295272,0.32968152,0.22283141,0.16321947,0.17131482,0,0,0,0.00037978619,0.0041400236,0.17130002,0.17936267,0.16609846,0.2429159,0.33169717,0,0
3771,"Central Washington University",1,5,"Selective public",1,4,"WA",39000,"Yakima",53037,"Kittitas",0,1188.66666666667,0.53757709,0.63380742,0.013766491,0.00083518954,115641.113066549,97100,0.681560285510605,0.054754861,0.089585133,0.16183552,0.29051191,0.4033125,0.16891204,0.074459136,0.010038604,0.0008210385,0.62899685,47688.6403314288,45000,48400,0.10181221,0.11237833,0.11603758,0.15081136,0.26822603,0.35254666,0.16061983,0.064593256,0.009943163,0.56862128,0.60991818,0.62961042,0.63027912,0.64026165,0.15936574,0.14480233,0.16869152,0.27571997,0.25142044,0.11811492,0.15154549,0.13783264,0.28067258,0.31183437,0.094151102,0.12943806,0.17057715,0.27876967,0.32706404,0.11628209,0.11291537,0.14940438,0.26272821,0.35867,0.10922699,0.1011171,0.14434895,0.26417333,0.38113365,0.01525325,0.0029924477,0.010513347,0.0088327574,0.011337216,0.57092595,0.62065524,0.61179382,0.65559345,0.63840646,0,0
3772,"Centralia College",1,7,"Nonselective four-year public",1,4,"WA",39400,"Seattle",53041,"Lewis",0,448.666666666667,0.52451706,0.51344478,0.016559748,0,79800.9763593518,66300,0.524350509512478,0.13729216,0.18164127,0.25689822,0.2809059,0.14326243,0.058617365,0.021827705,0.0029981516,0.0014424874,0.51560569,31753.0926486464,29300,35300,0.15428129,0.16878763,0.19991994,0.19775011,0.23677562,0.1967667,0.05751067,0.015055837,0.0026110956,0.45101556,0.49818122,0.50855595,0.54776019,0.5491904,0.20999891,0.27310014,0.20465165,0.19163255,0.12061685,0.18697427,0.20689346,0.20438142,0.22818163,0.1735692,0.18017389,0.1984136,0.18985766,0.24395576,0.18759911,0.13052243,0.17997849,0.21059722,0.23744848,0.24145336,0.16084677,0.16274969,0.17169084,0.27673897,0.22797376,0,0.0040699202,0.0029933883,0.0024090831,0.0029743207,0.42525157,0.45143923,0.56072968,0.52783549,0.5635708,0,0
1961,"Centre College Of Kentucky",2,4,"Highly selective private",1,3,"KY",12903,"Danville",21021,"Boyle",0,246.666666666667,0.55000001,0.6840238,0.0069167702,0.0013968217,192429.82660473,111000,0.74418237869804,0.025133079,0.074178144,0.14329864,0.26771101,0.4896791,0.33675039,0.20979947,0.047270928,0.0022536786,0.66438246,65580.2392366976,49400,53400,0.097180918,0.10100044,0.096478611,0.11795148,0.26911026,0.41545916,0.2384018,0.15814936,0.048480187,0.62320203,0.67943382,0.65710211,0.67336279,0.66143703,0.03257126,0.058028843,0.20504828,0.42914578,0.27520585,0.05527645,0.086712524,0.17470911,0.24909741,0.43420461,0.099678434,0.11041578,0.072424121,0.32567823,0.39180347,0.098864935,0.086744279,0.12194417,0.27126536,0.42118123,0.1129934,0.10117475,0.11602357,0.24619581,0.42361245,0.055577021,0.035967883,0.018703485,0.065522447,0.049408007,0.6415652,0.5916875,0.59643865,0.73682976,0.69695181,0,0
2539,"Chadron State College",1,5,"Selective public",1,2,"NE",27701,"Scottsbluff",31045,"Dawes",0,363.666666666667,0.54812098,0.68929827,0.019025898,0.00080380455,72584.3989674038,68100,0.530354808493561,0.10851479,0.19772686,0.27556479,0.27668929,0.14150423,0.054927595,0.026917947,0.0032498252,0,0.62104261,44111.4031565078,38600,41800,0.070699878,0.07791689,0.1337871,0.20069593,0.312222,0.27537808,0.12413015,0.058695123,0.0087996256,0.56001639,0.59079373,0.62044859,0.64978909,0.65505654,0.10537757,0.19403233,0.19647245,0.32878768,0.17532998,0.10212619,0.15292397,0.23659191,0.27022687,0.23813109,0.065744787,0.14040455,0.2096718,0.32174164,0.26243728,0.060099754,0.09720163,0.19338422,0.32399619,0.32531822,0.081572562,0.11949703,0.15059406,0.31663793,0.33169842,0.0074073267,0.00044464757,0.0027887556,0.0067150407,0.037323546,0.58850503,0.7056073,0.68311787,0.71604568,0.70353985,0,0
1605,"Chaminade University Of Honolulu",2,6,"Selective private",1,4,"HI",34701,"Honolulu",15003,"Honolulu",0,275.666666666667,0.54171705,0.50743365,0.034261223,0,79499.5670439087,66600,0.526490534771743,0.15715286,0.18067917,0.21306194,0.25794584,0.19116025,0.078513481,0.038306702,0.0048551904,6.722516e-06,0.57636702,39511.0645168909,38100,43100,0.111757,0.12457981,0.14773421,0.18047211,0.30409032,0.24312358,0.086844072,0.034688983,0.0038942092,0.55170381,0.55989939,0.57229763,0.59763408,0.58804578,0.14579874,0.1749844,0.19444044,0.26676437,0.21801208,0.12095634,0.1994886,0.13865265,0.28783372,0.25306875,0.11267409,0.12303212,0.23574196,0.32373041,0.20482139,0.10857827,0.14050174,0.17532139,0.33369675,0.24190179,0.14542228,0.11370665,0.15386324,0.28830078,0.29870701,0,0.0067289853,0.00033523681,0.0092363227,0.0011745351,0.48664567,0.51856917,0.50797349,0.51577812,0.50213677,0,0
