"","address","city","country","keys","latitude","longitude","name","postalCode","province","websites"
"34","1205 Williston Rd","South Burlington","US","us/vt/southburlington/1205willistonrd/-1161002137",44.46749,-73.17562,"McDonald's","5403","VT","http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
"35","71 Upper Main St","Essex Junction","US","us/vt/essexjunction/71uppermainst/-1161002137",44.50736,-73.0865,"McDonald's","5452","VT","http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
"36","79 Heineberg Dr","Colchester","US","us/vt/colchester/79heinebergdr/-1161002137",44.53525,-73.24849,"McDonald's","5446","VT","http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
"37","1027 Putney Rd","Brattleboro","US","us/vt/brattleboro/1027putneyrd/-1161002137",42.88208,-72.55768,"McDonald's","5301","VT","http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
"38","45 Farrell Rd","Rutland","US","us/vt/rutland/45farrellrd/-864103396",43.58408,-72.96861,"Taco Bell","5701","VT","http://www.tacobell.com,https://locations.tacobell.com/vt/rutland/45-farrell-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=026367andutm_content=website"
"39","26 Railroad St","Saint Johnsbury","US","us/vt/saintjohnsbury/26railroadst/-891525969",44.412902,-72.01748,"Subway","5819","VT","http://www.subway.com"
"40","231 Main St","Brattleboro","US","us/vt/brattleboro/231mainst/-891525969",42.85586,-72.55979,"SUBWAY","5301","VT","http://www.subway.com"
"41","985 Memorial Dr","Saint Johnsbury","US","us/vt/saintjohnsbury/985memorialdr/-864103396",44.44642,-72.01625,"Taco Bell","5819","VT","http://www.tacobell.com,https://locations.tacobell.com/vt/saint-johnsbury/985-memorial-drive.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=E715019andutm_content=website"
"42","250 Railroad St","Saint Johnsbury","US","us/vt/saintjohnsbury/250railroadst/-1055723171",44.41617,-72.01582,"Domino's Pizza","5819","VT","https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps"
"43","1007 Putney Rd","Brattleboro","US","us/vt/brattleboro/1007putneyrd/-864103396",42.88168,-72.55782,"Taco Bell","5301","VT","http://www.tacobell.com,https://locations.tacobell.com/vt/brattleboro/1007-putney-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=G205006andutm_content=website"
