"","corr_type","Name","Description","Summary","wtdprop","n_colleges","mr_kq5_pq1","mr_ktop1_pq1","k_rank","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","par_q1","par_q2","par_q3","par_q4","par_q5","kq345_cond_parq1","k_rank_cond_parq123"
"78","Pooled","COLACT12_9406","Act in College: Had a part-time job on campus","COLACT12_9406.yes",0.525702432186855,309,-0.443770714139462,0.0783628325877091,0.141456801185095,-0.0279334652160359,-0.0841492792094806,-0.192936697922515,-0.130440665951061,0.148106890558278,0.179547912111363,0.211702011251694,0.259863054141656,0.0919041231593283,0.107096697600607,0.10150751139463,0.0970745566356158,0.107780602434603,0.0553412540341785,-0.106197163600937,-0.155965060756339,-0.0962997387212595,0.138156420758943,0.0969139451196418,-0.0925213793427774,-0.167734961427387,-0.134624915310475,0.130802175981452,0.0254046365389569,-0.00735151970553386,-0.189048987703259,-0.0818662173991433,0.108438959702242,-0.0077545421476825,-0.0594034874469904,-0.126871125194639,-0.057807616255294,0.0904556464928337,0.00415132693997762,-0.0608901786289567,-0.142180126356613,-0.10458209099548,0.110463366221008,-0.497901976251321,-0.451558385121834,-0.215740068300352,0.0473015876841791,0.348091281640934,0.0372548210467324,-0.49379263522769
"79","Pooled","COLACT13_9406","Act in College: Had a roommate of different race/ethnicity","COLACT13_9406.no",0.676154861940017,299,-0.0394048470940256,-0.393892718520242,-0.374523250579474,0.0460363215150837,0.24194183602516,0.439707745467441,0.581111122254495,-0.463937906710903,-0.490441501874184,-0.508722845668564,-0.485814928519552,-0.417012724863744,-0.357199197264184,-0.368337837466393,-0.349215090994515,-0.33490260760255,0.0684530709691786,0.28535351601918,0.37511076104065,0.394370142194718,-0.490645669572594,-0.00440888278956775,0.244421905075027,0.438079112294981,0.482751864610669,-0.462294893550264,-0.00454511633359759,0.202987971799143,0.402067403245571,0.587746974572822,-0.474199001135933,0.026613993150744,0.171072279185916,0.36975870135332,0.556677237048287,-0.4402922414702,0.0248222777794512,0.187984678304122,0.407315332301502,0.516060122709024,-0.425342774841396,0.191791541564672,0.326901884027698,0.46036736669349,0.431837311813475,-0.463704620480262,-0.229426089978085,0.286479892899493
"80","Pooled","COLACT13_9406","Act in College: Had a roommate of different race/ethnicity","COLACT13_9406.yes",0.323845138059983,299,0.0394048470940256,0.393892718520242,0.374523250579473,-0.0460363215150837,-0.24194183602516,-0.439707745467441,-0.581111122254495,0.463937906710903,0.490441501874184,0.508722845668564,0.485814928519552,0.417012724863744,0.357199197264184,0.368337837466393,0.349215090994515,0.33490260760255,-0.0684530709691786,-0.28535351601918,-0.37511076104065,-0.394370142194718,0.490645669572594,0.00440888278956776,-0.244421905075027,-0.438079112294981,-0.482751864610669,0.462294893550264,0.00454511633359763,-0.202987971799143,-0.402067403245571,-0.587746974572822,0.474199001135933,-0.0266139931507439,-0.171072279185916,-0.36975870135332,-0.556677237048287,0.4402922414702,-0.0248222777794511,-0.187984678304122,-0.407315332301502,-0.516060122709024,0.425342774841396,-0.191791541564672,-0.326901884027698,-0.46036736669349,-0.431837311813475,0.463704620480262,0.229426089978085,-0.286479892899493
"81","Pooled","COLACT14_9406","Act in College: Joined a fraternity or sorority","COLACT14_9406.no",0.811212314184082,318,0.151766188011304,-0.121987019663882,-0.289050122180985,0.219090704896836,0.291217763501706,0.225931185230782,0.163264363583795,-0.259747144161951,-0.289786416938324,-0.307766357200562,-0.298174054894723,-0.185286331706676,-0.292809215400157,-0.273454509201164,-0.244049799322679,-0.287028123907535,0.0352578027250403,0.203566333211755,0.172601027226931,-0.0526602098745954,-0.143488512863112,0.205699251325066,0.27492596121861,0.221922152205518,0.128634429425586,-0.286823634605682,0.226101411786517,0.294493603579668,0.116667324079114,0.0823348275842797,-0.211661215155853,0.161205986149684,0.226619509574897,0.167651473224255,0.138918389686506,-0.21641011181085,0.15899883643447,0.257435524204971,0.257437513672372,0.179236108349239,-0.272011790832576,0.208941693253739,0.240674415296582,0.257429948331388,0.156449633144474,-0.278344114477003,-0.156443160887755,0.227449433635352
"82","Pooled","COLACT14_9406","Act in College: Joined a fraternity or sorority","COLACT14_9406.yes",0.188787685815918,318,-0.151766188011304,0.121987019663882,0.289050122180985,-0.219090704896836,-0.291217763501706,-0.225931185230782,-0.163264363583795,0.259747144161951,0.289786416938324,0.307766357200562,0.298174054894723,0.185286331706676,0.292809215400157,0.273454509201164,0.244049799322679,0.287028123907535,-0.0352578027250403,-0.203566333211755,-0.172601027226931,0.0526602098745954,0.143488512863112,-0.205699251325066,-0.27492596121861,-0.221922152205519,-0.128634429425586,0.286823634605682,-0.226101411786517,-0.294493603579668,-0.116667324079114,-0.0823348275842797,0.211661215155853,-0.161205986149683,-0.226619509574897,-0.167651473224255,-0.138918389686506,0.21641011181085,-0.158998836434469,-0.25743552420497,-0.257437513672372,-0.179236108349239,0.272011790832576,-0.208941693253739,-0.240674415296582,-0.257429948331388,-0.156449633144474,0.278344114477003,0.156443160887754,-0.227449433635352
"83","Pooled","COLACT15_9406","Act in College: Participated in college internship program","COLACT15_9406.no",0.715394226343131,56,0.324841125873944,0.0337982806688156,0.00151816724004931,-0.125552398993031,-0.0287923596148408,0.0515124327957519,0.0836398272500435,-0.0307547812145907,-0.019505010592786,-0.00793948875294648,0.0085937598639756,0.00421723075832993,0.103315498520048,-0.0542902559658322,-0.00149544288679155,0.0512328673641583,-0.0583194406621403,-0.0613396626132287,0.0204041212758681,0.135049690914961,-0.0291239640268439,-0.337663868631631,0.00526663723494987,0.00283702326755745,0.123497460676209,0.0281512201683382,0.0705197447659863,-0.0204514536658678,0.0510876047611984,0.0604512841792617,-0.0559454328981329,-0.0458733690873407,-0.012405914143301,-0.0356087801900802,0.0776653847675318,-0.0160635262316364,-0.258583303130817,0.00672842788288141,0.107642036753652,0.0129956175191304,0.0112634387928392,0.355216574328378,0.27397895930129,0.0563825858095279,-0.133264098429391,-0.180403478361106,0.0732214937322652,0.320293067060353
"84","Pooled","COLACT15_9406","Act in College: Participated in college internship program","COLACT15_9406.yes",0.284605773656869,56,-0.324841125873944,-0.0337982806688155,-0.0015181672400491,0.125552398993031,0.0287923596148406,-0.0515124327957521,-0.0836398272500437,0.0307547812145909,0.0195050105927862,0.00793948875294672,-0.00859375986397537,-0.00421723075832975,-0.103315498520048,0.0542902559658324,0.00149544288679177,-0.0512328673641581,0.0583194406621403,0.0613396626132285,-0.0204041212758682,-0.135049690914961,0.0291239640268442,0.337663868631632,-0.00526663723495005,-0.00283702326755756,-0.123497460676209,-0.028151220168338,-0.0705197447659865,0.0204514536658677,-0.0510876047611986,-0.0604512841792619,0.0559454328981332,0.0458733690873406,0.0124059141433008,0.0356087801900801,-0.0776653847675321,0.0160635262316366,0.258583303130817,-0.00672842788288166,-0.107642036753652,-0.0129956175191307,-0.0112634387928389,-0.355216574328379,-0.27397895930129,-0.0563825858095282,0.133264098429391,0.180403478361107,-0.0732214937322651,-0.320293067060353
"85","Pooled","COLACT16_9406","Act in College: Participated in study abroad program","COLACT16_9406.no",0.786484991008438,202,0.252098894745537,-0.28488759568796,-0.400291210989877,0.0904161442165084,0.273718956724762,0.45819053442389,0.499224039558417,-0.44999504174968,-0.492655542459795,-0.546297563562544,-0.621943351398127,-0.359796002796581,-0.386925410694217,-0.360790658495513,-0.347399189799412,-0.345512089688403,0.0849306415095062,0.237784443819158,0.358291784567433,0.277661216513425,-0.408896547812465,0.0338043930086325,0.294082031538536,0.409783779348788,0.398390739060006,-0.435500653925017,-0.0253746932430931,0.216819583133644,0.445419898578296,0.415909007200342,-0.418008694818601,0.119917130531293,0.188535486138863,0.363283461869129,0.394381821752368,-0.380029909657638,0.00517576301609686,0.204195705586668,0.394864338587402,0.494374477120008,-0.411927689011719,0.437624653529337,0.595934600193918,0.627411347877787,0.569935610994872,-0.695609951404122,-0.214217560268047,0.594410383661346
"86","Pooled","COLACT16_9406","Act in College: Participated in study abroad program","COLACT16_9406.yes",0.213515008991562,202,-0.252098894745537,0.28488759568796,0.400291210989877,-0.0904161442165085,-0.273718956724762,-0.45819053442389,-0.499224039558417,0.44999504174968,0.492655542459795,0.546297563562544,0.621943351398127,0.359796002796581,0.386925410694217,0.360790658495513,0.347399189799412,0.345512089688403,-0.0849306415095062,-0.237784443819158,-0.358291784567433,-0.277661216513425,0.408896547812465,-0.0338043930086325,-0.294082031538537,-0.409783779348788,-0.398390739060006,0.435500653925017,0.0253746932430931,-0.216819583133644,-0.445419898578296,-0.415909007200342,0.418008694818602,-0.119917130531294,-0.188535486138863,-0.363283461869129,-0.394381821752368,0.380029909657638,-0.00517576301609695,-0.204195705586668,-0.394864338587403,-0.494374477120008,0.411927689011719,-0.437624653529337,-0.595934600193918,-0.627411347877787,-0.569935610994872,0.695609951404123,0.214217560268047,-0.594410383661346
"87","Pooled","COLACT17_9406","Act in College: Participated in an ethnic/racial student organization","COLACT17_9406.no",0.860388002289934,318,-0.208491718354238,-0.440909135247794,-0.351096833632215,0.0558359184636619,0.186443929007028,0.439307948257621,0.522043355153103,-0.429140475487461,-0.44901321535022,-0.470955558995582,-0.470353789077591,-0.422591457795535,-0.367987021295157,-0.362483784759309,-0.329906224177525,-0.319311148812487,0.103720735374486,0.293350184139709,0.380371945718524,0.349166812989236,-0.484329262939241,0.0618224656240857,0.22578561112739,0.463419409149004,0.383367111262055,-0.443325514923051,0.0359265821431909,0.172418113363108,0.43677553097571,0.500134310200114,-0.450379324198617,0.0634164338758543,0.12061459923448,0.360304806399734,0.495505217693671,-0.404319506065093,0.0268307548863393,0.13521952375322,0.394295269056871,0.500134667198169,-0.404907080012563,0.0259226172973313,0.169416406954416,0.422430732860399,0.56428829586682,-0.403581093373375,-0.257001954443011,0.120112106110838
