"Name","Description","Summary","wtdprop","n_colleges","mr_kq5_pq1","mr_ktop1_pq1","k_rank","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","par_q1","par_q2","par_q3","par_q4","par_q5"
"CHOICE","Choice: Is this college your:","CHOICE.lessthanthird",0.0254712135854157,351,0.217312411896387,0.305998051617296,0.178330515398641,-0.0548797660112948,-0.0909281241827982,-0.158182142360476,-0.261364291454996,0.20386628580822,0.229537862288171,0.268480391882618,0.297698127007025,0.173004563142278,0.160945434987711,0.185939255129208,0.179860180605008,0.188767856155791,0.033393778858276,-0.0694334884744369,-0.227094145634389,-0.218411968584675,0.223328564779463,-0.0863615397945609,-0.0863615397945609,-0.0863615397945609,-0.0863615397945609,-0.0863615397945609,-0.0867897079461561,-0.0860805839213445,-0.172108836902003,-0.221345706524289,0.211745931380187,-0.0101876295224858,-0.129696123212523,-0.135864615232184,-0.259730395997631,0.211309533769183,-0.0700165781575312,-0.110799739831507,-0.163225833003182,-0.224566010598694,0.203883446108634,0.167100621330054,0.0503688488273403,-0.217892654642169,-0.408645157051864,0.17442695043111
"CHOICE","Choice: Is this college your:","CHOICE.third",0.0467814145228327,351,0.262380823380252,0.285632726406586,0.202616295634442,-0.12040899301508,-0.125950949442918,-0.177061242719704,-0.231735017143471,0.215812146303121,0.220582084704967,0.244622297802428,0.25443365532635,0.193670025455574,0.187527666034345,0.222248367171997,0.216145857052965,0.206833189523138,0.00154212725925406,-0.110755306352758,-0.225193573078188,-0.190044933069547,0.234629848740465,-0.141247933735083,-0.141247933735083,-0.141247933735083,-0.141247933735083,-0.141247933735083,-0.140698563270856,-0.123251297620267,-0.196578401729811,-0.220806559037364,0.240967025034478,-0.0750487423044952,-0.168250250346539,-0.16968724919975,-0.234941171408123,0.231252967084244,-0.131658672069818,-0.126261773907308,-0.173601972823051,-0.187004806154828,0.205503590778008,0.203018298185113,0.0753784565944203,-0.246248099362011,-0.415222146899909,0.169509684599678
"CHOICE","Choice: Is this college your:","CHOICE.second",0.190372293580055,351,0.316871907104602,0.130481225694042,0.0927581680830849,-0.162056123207778,-0.0700509838549215,-0.0612938952044713,-0.0340167125891869,0.0799658543471492,0.0375756420465983,0.0175479438536101,-0.0195303233707068,0.0889973012046066,0.100943672562413,0.133030391392213,0.136913458166473,0.100359666656579,-0.0336942112141779,-0.0288508958465999,-0.0991308769018901,-0.0537140917496253,0.093176835781148,-0.186365779981033,-0.186365779981033,-0.186365779981033,-0.186365779981033,-0.186365779981033,-0.176701537437296,-0.0908243047392678,-0.100614858055677,-0.0631895408738289,0.126809903805251,-0.154945623608105,-0.126684588686197,-0.081809843240293,-0.0672667916795644,0.119892183026005,-0.171339176822562,-0.0890721492688783,-0.0596588230870642,0.00738297758409277,0.0729739787462498,0.311246865940943,0.223987905165976,-0.093077123975585,-0.234182302498869,-0.0227713514217323
"CHOICE","Choice: Is this college your:","CHOICE.first",0.737375078311697,351,-0.305690771423725,-0.213439333697882,-0.144238090569384,0.142116252938961,0.0935604894018789,0.114284611713848,0.13127691442936,-0.144625098966966,-0.124543763372661,-0.125845646576273,-0.111040059169572,-0.138555726094586,-0.142042286414206,-0.175707912800733,-0.175352511997478,-0.152007184068264,0.0141098005326544,0.0600733544318477,0.163302067330948,0.124364345680674,-0.161404489393617,0.168542920258544,0.168542920258544,0.168542920258544,0.168542920258544,0.168542920258544,0.162512228240765,0.104761464914172,0.146326105017447,0.13887435105607,-0.181658861923844,0.117358256460812,0.146971064195691,0.120806250882017,0.152342271933071,-0.174745533833858,0.153661727997587,0.109126148351485,0.113312781528831,0.0870014715974852,-0.137594671933618,-0.277120302713874,-0.167633756706945,0.163381937812981,0.330939534292339,-0.0634520264827701
"CHOOSE06","Choose to Attend: High school counselor advised me","CHOOSE06.notimportant",0.669874603081059,351,-0.238037673117134,-0.171194883003308,-0.400644658917977,0.454187574117881,0.400412775956425,0.304126822926866,0.163486257019481,-0.34631350926498,-0.265880431980786,-0.228102868158202,-0.178714724059783,-0.297519536068865,-0.389994399890569,-0.401089753107529,-0.429501113509986,-0.401259630357778,0.186054071760172,0.145936423118401,0.222604759856933,0.166697188801223,-0.295710741290605,0.351069424851232,0.351069424851232,0.351069424851232,0.351069424851232,0.351069424851232,0.381066060163204,0.33034302485489,0.315719728401378,0.142762104889775,-0.34984930280773,0.401720068259895,0.459967029731274,0.29121776914236,0.159035491583026,-0.361722026808014,0.432280059486927,0.358554150811546,0.286651497100785,0.16256011379085,-0.34775087143922,-0.0757916955091126,0.069355495415521,0.275336404074846,0.224459483759586,-0.177454345970376
"CHOOSE06","Choose to Attend: High school counselor advised me","CHOOSE06.somewhatimportant",0.27455543860019,351,0.178490147765778,0.183969040777887,0.471735693833298,-0.501116212480946,-0.476967236536155,-0.369603672215732,-0.200961703807959,0.411117036483464,0.327722115550918,0.285102269707706,0.223019687290964,0.344882915377501,0.450038502802672,0.46614837134816,0.492934278949946,0.468973913596334,-0.205013736708515,-0.169877641653731,-0.270214027123855,-0.197007791416422,0.347131089396723,-0.381717210394735,-0.381717210394735,-0.381717210394735,-0.381717210394735,-0.381717210394735,-0.419572793004198,-0.40038864468364,-0.365562068646541,-0.167122893021787,0.406341598583479,-0.432766890400789,-0.527022671384391,-0.352698971505658,-0.185663993548755,0.41807539409614,-0.465476133907423,-0.430143948347272,-0.349878122914902,-0.202438697436852,0.411152750902329,-0.0274136576068224,-0.164661304516795,-0.328249719259371,-0.222857996755987,0.248191132117127
"CHOOSE06","Choose to Attend: High school counselor advised me","CHOOSE06.veryimportant",0.0555699583187506,351,0.35650897786597,0.107735186085509,0.14198191178709,-0.2509647287645,-0.127181681088248,-0.0769966720028002,-0.0353000826334032,0.113762365950785,0.055016774419034,0.0366530251223678,0.029661137376958,0.119951961742266,0.162691863430935,0.158480218413012,0.1863743754411,0.151520332492328,-0.103512117875568,-0.0569419973347788,-0.0572032819162923,-0.0571186548837836,0.107605314425542,-0.209029388903854,-0.209029388903854,-0.209029388903854,-0.209029388903854,-0.209029388903854,-0.212878188838451,-0.0865093889759929,-0.128408518033614,-0.0531892035007305,0.138915387879356,-0.249942961325931,-0.201939551327028,-0.0769808391292504,-0.0606136053158354,0.149127261765482,-0.269525196946142,-0.105762667657084,-0.0685293076680306,-0.0281069943470801,0.118701395956712,0.338767243829652,0.197343942489078,-0.0867266805724383,-0.190319632624468,-0.0420565782870029
"CHOOSE12","Choose to Attend: I was offered financial assistance","CHOOSE12.notimportant",0.395012242988446,351,0.0103196469389937,0.21877670112409,0.377122707622198,-0.12660378886548,-0.338286115449962,-0.371840792872899,-0.364559024374862,0.392193198070271,0.423691673524054,0.436516884203556,0.443664518650224,0.303590822442679,0.328735505939755,0.325705625497747,0.293932727123031,0.390133338204189,-0.0999937672958637,-0.166680029065017,-0.23391931423955,-0.301832163559017,0.343604747146568,-0.132408243487776,-0.132408243487776,-0.132408243487776,-0.132408243487776,-0.132408243487776,-0.109075541831155,-0.310544052030637,-0.284449186447184,-0.272725871971491,0.341956810778902,0.00699629406861614,-0.25523519870796,-0.337928658573618,-0.282898927683515,0.320881237950486,-0.101886163851975,-0.33644525148027,-0.370199454682179,-0.378857257919994,0.404454713458264,-0.162755293791914,-0.328107024666988,-0.479179461330835,-0.374299130904054,0.439331743526509
"CHOOSE12","Choose to Attend: I was offered financial assistance","CHOOSE12.somewhatimportant",0.241854973902442,351,0.0548908564855454,-0.356750355492912,-0.465309804375484,0.136501574950071,0.373992859665798,0.44763883743633,0.484051694138769,-0.482731977650172,-0.54055247887556,-0.61281836136957,-0.673342085765776,-0.395945415290799,-0.435989960021642,-0.429987181383249,-0.400894569725723,-0.448087067356348,0.0555354156619731,0.253979598238319,0.336733759864166,0.34521484496785,-0.430009295999356,0.160358572107528,0.160358572107528,0.160358572107528,0.160358572107528,0.160358572107528,0.141556639541964,0.322164233871506,0.392705821102603,0.369596656849467,-0.439999197630536,0.0355023021370558,0.301096152387884,0.398402564923197,0.395771814689253,-0.417526671334852,0.0894551644312741,0.336365572882168,0.429671259895604,0.478974721336064,-0.470344808165315,0.216083987142828,0.397134598916323,0.615711964150579,0.63709330502788,-0.621786616838176
"CHOOSE12","Choose to Attend: I was offered financial assistance","CHOOSE12.veryimportant",0.363132783109112,351,-0.0350050197907438,-0.109389749223563,-0.250838942497063,0.0924101963636406,0.243067235329439,0.251967345893041,0.228232209034107,-0.261350807032407,-0.274413134120844,-0.259455981316407,-0.242693684526559,-0.193040277606103,-0.20601139298172,-0.204938406829536,-0.179597777101531,-0.273340261740179,0.0947412319564624,0.0907562292588869,0.135566446289749,0.21207863767497,-0.22602496107745,0.0893233896110329,0.0893233896110329,0.0893233896110329,0.0893233896110329,0.0893233896110329,0.0696479263753027,0.231938715810396,0.17182823331383,0.167627916305159,-0.219925503183926,-0.023019759414806,0.175519462955803,0.232488045701406,0.16872522363917,-0.204437760120948,0.0828561762536887,0.256555887730152,0.257509934788036,0.247196728698313,-0.280956944459208,0.101900509048484,0.221440002441922,0.308533594135231,0.176024836744748,-0.259041487066866
