corr_type,Name,Description,Summary,wtdprop,n_colleges,mr_kq5_pq1,mr_ktop1_pq1,k_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,par_q1,par_q2,par_q3,par_q4,par_q5
Pooled,CHOOSE16,Choose to Attend: My relatives wanted me to come here,CHOOSE16.somewhatimportant,0.292394696,351,0.025077142,0.095567268,0.020511871,0.221680995,-0.033259751,-0.091123298,-0.134979232,0.06284633,0.109980231,0.152418858,0.185282905,0.006474291,0.01220738,0.028233694,0.005894848,0.014159484,0.070587982,-0.025355389,-0.062197855,-0.108729252,0.066447506,0.096028787,-0.058316031,-0.014340242,-0.08702606,0.03976576,0.169539654,-0.068508813,-0.087086378,-0.08374862,0.059126335,0.222121247,0.003276109,-0.09704015,-0.096652943,0.043034553,0.216852072,-0.01988444,-0.105851593,-0.147203442,0.06378543,0.0174659,-0.029674195,-0.109173881,-0.147489163,0.097875536
Pooled,CHOOSE16,Choose to Attend: My relatives wanted me to come here,CHOOSE16.veryimportant,0.073387447,351,0.267715815,0.033146244,-0.311600078,0.417588474,0.313724293,0.241680127,0.044538584,-0.24512438,-0.178381126,-0.120056979,-0.050537834,-0.222532615,-0.276920716,-0.291921648,-0.283075665,-0.289047163,0.130200107,0.126150684,0.187774437,0.024402755,-0.18845115,0.240477554,0.224788817,0.215312135,0.036191119,-0.224661925,0.3563121,0.233761395,0.204689605,0.038845452,-0.227479103,0.355226052,0.279467604,0.216951713,0.026104642,-0.218297732,0.34461018,0.284655765,0.18772881,0.051053012,-0.225029791,0.460358392,0.419541872,0.193884831,-0.08322451,-0.268537577
Pooled,CHOOSE21,Choose to Attend: Rankings in national magazines,CHOOSE21.notimportant,0.50674119,351,-0.068789299,-0.516287127,-0.716393561,0.253362898,0.604796712,0.725002483,0.693617503,-0.746067807,-0.785970007,-0.81301387,-0.773400054,-0.597266584,-0.662103645,-0.674364815,-0.65356112,-0.69334547,0.094674936,0.426086961,0.58397764,0.47448297,-0.683585059,0.21487433,0.545385346,0.60601478,0.544255636,-0.699979086,0.243111691,0.498829678,0.64780253,0.560437758,-0.696456037,0.129259644,0.508026824,0.658624947,0.61517879,-0.68547729,0.186921334,0.527273854,0.704886117,0.701086439,-0.732591921,0.314384944,0.531737698,0.747813226,0.675341771,-0.742935975
Pooled,CHOOSE21,Choose to Attend: Rankings in national magazines,CHOOSE21.somewhatimportant,0.354994285,351,0.052821346,0.459107102,0.708704368,-0.261275193,-0.622069314,-0.736022021,-0.646444674,0.73352109,0.746992035,0.752217562,0.686698854,0.596998529,0.654341704,0.6679853,0.645338352,0.678334592,-0.115189028,-0.428398024,-0.596029417,-0.418043182,0.670535537,-0.22043159,-0.556606665,-0.606042083,-0.488916923,0.68008741,-0.252028261,-0.50627592,-0.66609143,-0.500529853,0.678833812,-0.141505357,-0.521417211,-0.659399397,-0.578214472,0.672376077,-0.190184227,-0.538587432,-0.700606546,-0.663784557,0.715985009,-0.35457482,-0.571404181,-0.759730321,-0.637373953,0.753255859
Pooled,CHOOSE21,Choose to Attend: Rankings in national magazines,CHOOSE21.veryimportant,0.138264525,351,0.077488962,0.516847386,0.643152367,-0.216477419,-0.518416197,-0.631459327,-0.663744493,0.67448171,0.737165892,0.783683681,0.77531914,0.529859143,0.595089924,0.604533551,0.587991508,0.630279565,-0.062754709,-0.375413931,-0.505349598,-0.479015948,0.61959913,-0.184783293,-0.471988591,-0.537310854,-0.539744305,0.641203366,-0.206350485,-0.43460848,-0.555498597,-0.558812649,0.635735188,-0.101961503,-0.436622993,-0.58318724,-0.583649203,0.621330325,-0.16236814,-0.455834253,-0.629426802,-0.660170204,0.666727194,-0.23724106,-0.430503309,-0.650757889,-0.638030934,0.648083285
Pooled,CHOOSE24,Choose to Attend: This college has a good reputation for its social activities,CHOOSE24.notimportant,0.211027301,351,0.187472665,-0.010091353,-0.226396328,0.055362702,0.260879056,0.284702751,0.104571599,-0.213979664,-0.199426827,-0.2216041,-0.231783817,-0.158895734,-0.201066481,-0.209094525,-0.169772714,-0.200407893,0.073524295,0.110909492,0.164545421,0.021023879,-0.152014741,0.105941497,0.25007233,0.165879367,0.004717972,-0.167268675,0.114337331,0.232782155,0.253338632,-0.024019055,-0.170127988,-0.005466931,0.179937927,0.263847976,0.041994373,-0.155757498,0.003716286,0.219108116,0.248872854,0.141387462,-0.199808143,0.298175191,0.36357386,0.380444867,0.273280046,-0.412537733
Pooled,CHOOSE24,Choose to Attend: This college has a good reputation for its social activities,CHOOSE24.somewhatimportant,0.495827444,351,-0.149623372,-0.244515655,-0.0407324,-0.256004446,-0.071037862,0.107381716,0.323362864,-0.125686104,-0.222903186,-0.288630704,-0.345427681,-0.075802792,-0.037446443,-0.027710968,-0.017710918,-0.043879391,-0.048043305,-0.01628124,0.104831173,0.232687028,-0.136221207,-0.180233638,0.001019191,0.102482569,0.257821768,-0.117599385,-0.199853404,-0.03117582,0.099357949,0.238812882,-0.106443559,-0.244624552,-0.110762437,0.103261803,0.287587661,-0.112609263,-0.250614703,-0.066497941,0.135276042,0.312286535,-0.128099375,-0.147949287,-0.056758894,0.174520687,0.406320372,-0.163847304
Pooled,CHOOSE24,Choose to Attend: This college has a good reputation for its social activities,CHOOSE24.veryimportant,0.293145255,351,-0.087755886,0.124894583,0.211326584,0.074866724,-0.187382709,-0.292471992,-0.24251304,0.241219683,0.27513649,0.325211807,0.360866107,0.170783557,0.188287655,0.190462031,0.152365729,0.190790032,-0.039477703,-0.08628629,-0.189385047,-0.128535569,0.193696269,-0.004066882,-0.212504633,-0.189398562,-0.126669803,0.197768937,-0.001850208,-0.182527286,-0.262062789,-0.093261295,0.194885297,0.121025655,-0.099857437,-0.272830389,-0.172436384,0.18563511,0.116089886,-0.154127966,-0.275366123,-0.268456726,0.230352809,-0.182409718,-0.281244638,-0.405589609,-0.425020308,0.427720699
Pooled,CHOOSE25,Choose to Attend: This college has a very good academic reputation,CHOOSE25.notimportant,0.045918842,351,-0.009591506,-0.349646096,-0.643735679,0.303236052,0.582685989,0.671518215,0.510291107,-0.647357374,-0.631198782,-0.609502608,-0.530930051,-0.548688615,-0.603096181,-0.618547029,-0.604177505,-0.59860616,0.149145005,0.402299582,0.509947249,0.345716042,-0.597450327,0.246532078,0.540359216,0.532778378,0.380163099,-0.60227573,0.276449609,0.493717944,0.614504515,0.387499723,-0.606187432,0.220488892,0.485692091,0.627791224,0.461284122,-0.607820422,0.209424419,0.470847318,0.626481836,0.536994428,-0.618297133,0.398235497,0.540835816,0.591580207,0.394035192,-0.605072918
Pooled,CHOOSE25,Choose to Attend: This college has a very good academic reputation,CHOOSE25.somewhatimportant,0.303807202,351,-0.008083833,-0.456900172,-0.693855891,0.290738671,0.581478259,0.677394611,0.648564016,-0.710131815,-0.751995509,-0.778657917,-0.744548409,-0.568931992,-0.64721474,-0.659588962,-0.641514823,-0.673816179,0.102758552,0.415234294,0.523493519,0.454298224,-0.644064151,0.239854336,0.529246405,0.560853763,0.518035191,-0.670207204,0.263084344,0.497168159,0.618326391,0.515955751,-0.667035072,0.182531316,0.493841783,0.615705264,0.574102517,-0.655638076,0.218606762,0.502977499,0.669934263,0.654888135,-0.69995677,0.330694291,0.502901402,0.649382778,0.583509441,-0.671017702
